Artist, Title,Album
Mario Judah,Die Very Rough,Die Very Rough
Scatman John,Scatman's World,Scatman's World
The Weeknd,I Feel It Coming,Starboy
Daft Punk,Get Lucky (feat. Pharrell Williams and Nile Rodgers),Random Access Memories
Scatman John,Scatman's World,Scatman's World
Edward Maya,Stereo Love,The Stereo Love Show
Eminem,Not Afraid,Recovery
Boyz II Men,It's So Hard To Say Goodbye To Yesterday,Cooleyhighharmony - Expanded Edition
Boyz II Men,Motownphilly,Cooleyhighharmony (Bonus Tracks Version)
Freestyle,Don't Stop the Rock,Don't Stop the Rock
Death Grips,Guillotine,Guillotine
M.I.A.,Paper Planes,Kala
009 Sound System,Dreamscape,"Track One Recordings, Vol. 1"
Kanye West,Lift Yourself,Lift Yourself
Cartoons,Witch Doctor,Greatest Toons
Wolfgang Amadeus Mozart,"Requiem in D Minor, K. 626: Lacrymosa - Bioshock Infinite",Video Games Classical Music
Gnarls Barkley,Crazy,St. Elsewhere
Nicki Minaj,Roman Holiday,Pink Friday ... Roman Reloaded (Deluxe Edition)
Simon & Garfunkel,Scarborough Fair / Canticle,"Parsley, Sage, Rosemary And Thyme"
Skrillex,Scary Monsters and Nice Sprites,Scary Monsters and Nice Sprites EP
Scatman John,Scatman (ski-ba-bop-ba-dop-bop),Scatman's World
SEGA SOUND TEAM,Boss: Masters Of The Desert,Sonic Adventure 2 Original Soundtrack (vol.1)
Amy Winehouse,Back To Black,Back To Black
Rick James,You And I,Come Get It! (Expanded Edition)
Slaughter,Prelude,Fear No Evil
USHER,DJ Got Us Fallin' In Love (feat. Pitbull),Raymond v Raymond (Expanded Edition)
Frédéric Chopin,"Nocturne No. 2 in E-Flat Major, Op. 9 No. 2",Chopin: Nocturnes
Kanye West,Hold My Liquor,Yeezus
Tay Zonday,Chocolate Rain,Chocolate Rain
SWV,Rain,Release Some Tension
Sunday Service Choir,Father Stretch,Jesus Is Born
Kanye West,Skit #4,Late Registration
Kanye West,On Sight,Yeezus
Nightwish,Whoever Brings The Night - Instrumental Version,Dark Passion Play
Squarepusher,Rotate Electrolyte,Hello Everything
Prince,Let's Go Crazy,Purple Rain
deadmau5,Ghosts 'n' Stuff (feat. Rob Swire),For Lack of a Better Name (The Extended Mixes)
Haddaway,"What Is Love - 7"" Mix",The Album
James Brown,Papa Don't Take No Mess,Hell
The Whispers,Rock Steady,The Whispers: Greatest Hits
War,So,Why Can't We Be Friends?
Jay Sean,Down,All Or Nothing
SEGA SOUND TEAM,Aquarium Park - Act 1,SONIC COLORS ORIGINAL SOUNDTRACKViViD SOUND × HYBRiD COLORS (Vol.3)
SEGA SOUND TEAM,Game Over,SONIC COLORS ORIGINAL SOUNDTRACKViViD SOUND × HYBRiD COLORS (Vol.2)
SEGA SOUND TEAM,Sweet Mountain - Act 2,SONIC COLORS ORIGINAL SOUNDTRACKViViD SOUND × HYBRiD COLORS (Vol.1)
Home,We're Finally Landing,Before the Night
SEGA SOUND TEAM,BOSS BATTLE : DEATH EGG ROBOT,SONIC GENERATIONS OFFICIAL SOUNDTRACK (Vol.1)
Estelle,American Boy,Shine
ILOVEMAKONNEN,Tuesday (feat. Drake),Tuesday (feat. Drake)
Michael Jackson,Jam,Dangerous
SEGA SOUND TEAM,Wave Ocean -The Water's Edge-,SONIC THE HEDGEHOG ORIGINAL SOUND TRACK (Vol. 1)
Drake,Don’t Matter To Me (with Michael Jackson),Scorpion
MyNewSoundtrack,Flying Battery Zone (from Sonic & Knuckles),GameLark Records: SUPERSONIC
The Bigtids,Brickolini,Brickolini
Sergei Prokofiev,"Prokofiev: Alexander Nevsky, Op. 78: V. The Battle on the Ice",Prokofiev: Alexander Nevsky & Scythian Suite
Deorro,Five Hours,Five Hours
Bruce Faulconer,Vegeta's Theme,The Best of DragonBall Z - Volume I
Toumani Diabaté,Tapha Niang,Boulevard De L'independance
Ananda Shankar,Dancing Drums,Ananda Shankar and his Music
Jim Noir,My Patch,Tower Of Love
Café Tacvba,Volver A Comenzar,SINO
The Daniel Pemberton TV Orchestra,My Advice - Part 2,Little BIG Music: Musical Oddities From And Inspired By Little Big Planet
The Daniel Pemberton TV Orchestra,Rainbow Warrior,Little BIG Music: Musical Oddities From And Inspired By Little Big Planet
Dmitri Shostakovich,"The Gadfly Suite, Op. 97a: XII. Finale",Shostakovich: Gadfly Suite (The) / Five Days-Five Nights Suite
Esquivel And His Orchestra,Limehouse Blues,Cabaret Manana
HP Riot,I Have Changed,HP Riot
Plaid,New Family,Double Figure
Röyksopp,Vision One,Junior
Daft Punk,Robot Rock,Human After All
Bruce Faulconer,Gohan Vs. Cell,Best Of DragonBall Z - Volume VI
Bruce Faulconer,Cell Yells,Best Of DragonBall Z - Volume VI
Bruce Faulconer,Perfect Cell Theme,The Best Of DragonBall Z Volume 3
Phyllis Hyman,Loving You - Losing You,Phyllis Hyman (Expanded Edition)
War,Slippin' Into Darkness,All Day Music
Jason Derulo,Whatcha Say,Jason Derulo
Michael Jackson,You Are Not Alone,"HIStory - PAST, PRESENT AND FUTURE - BOOK I"
Al Bowlly,This Is Romance,With All My Heart
Bruce Faulconer,Perfect Cell Runs,The Best of DragonBall Z - Volume I
Bruce Faulconer,Vegeta - Super Saiyan,The Best of DragonBall Z - Volume I
Bruce Faulconer,Android 16,The Best of DragonBall Z - Volume I
Bruce Faulconer,Gohan Fights Frieza,The Best of DragonBall Z - Volume I
The Jetzons,Hard Times,The Complete Jetzons
Bring Me The Horizon,Can You Feel My Heart,Sempiternal (Deluxe Edition)
Bill Withers,Lovely Day,Menagerie
The Dramatics,Whatcha See Is Whatcha Get,The Very Best Of The Dramatics
Kanye West,Fade,The Life Of Pablo
Stevie Wonder,As,Songs In The Key Of Life
Cheryl Lynn,Got to Be Real,Cheryl Lynn (Expanded Edition)
Pastor T.L. Barrett and the Youth for Christ Choir,Father I Stretch My Hands,Do Not Pass Me By Vol. I
T.I.,Live Your Life,Paper Trail
Pitbull,Hotel Room Service,Pitbull Starring In Rebelution
Soulja Boy,Kiss Me Thru The Phone,iSouljaBoyTellem
Madcon,Beggin',Conquest
Amnesty,Liberty,Free Your Mind
Lil Ugly Mane,Bitch I'm Lugubrious,Mista Thug Isolation
The All-American Rejects,Gives You Hell,When The World Comes Down
Kanye West,Wolves,The Life Of Pablo
Texas Faggott,Back To Mad,Back to Mad EP
A Touch Of Class,Around the World (La La La La La) - Radio Version,Planet Pop
Michael Jackson,Liberian Girl - 2012 Remastered Version,Bad 25th Anniversary
Carlton Williams,Prison Song,"The ""Selma"" Album: A Musical Tribute To Dr. Martin Luther King, Jr."
Future,Mask Off (feat. Kendrick Lamar) - Remix,Mask Off (feat. Kendrick Lamar) [Remix]
My Chemical Romance,I'm Not Okay (I Promise),Three Cheers for Sweet Revenge
La Roux,Bulletproof,La Roux
Michael Jackson,Stranger in Moscow,"HIStory - PAST, PRESENT AND FUTURE - BOOK I"
Roy Ayers Ubiquity,Everybody Loves The Sunshine,Everybody Loves The Sunshine (Reissue)
Alice Deejay,Better Off Alone,Who Needs Guitars Anyway?
Kanye West,Heartless,808s & Heartbreak
Nelly,Dilemma,Nellyville
The Jackson 5,I'll Be There,Third Album
Maroon 5,Memories,Memories
fun.,We Are Young (feat. Janelle Monáe),Some Nights
My Chemical Romance,Welcome to the Black Parade,The Black Parade
Gym Class Heroes,Stereo Hearts (feat. Adam Levine),The Papercut Chronicles II
Bruno Mars,Grenade,Doo-Wops & Hooligans
Bruno Mars,Locked out of Heaven,Unorthodox Jukebox
The City of Prague Philharmonic Orchestra,What Is A Youth?,Romeo & Juliet
Diddy,"I'll Be Missing You (feat. Faith Evans, 112)",Bad Boy's 10th Anniversary- The Hits
will.i.am,Scream & Shout,#willpower
Lady Gaga,Paparazzi,The Fame
CeeLo Green,Fuck You,The Lady Killer
USHER,OMG (feat. will.i.am),Raymond v Raymond (Expanded Edition)
T.I.,Whatever You Like,Paper Trail
The Blackbyrds,Dreaming About You,Action
War,Why Can't We Be Friends,Why Can't We Be Friends?
The Sundays,Wild Horses,Blind
War,Spill the Wine,Anthology 1970-1974
War,Don't Let No One Get You Down,Why Can't We Be Friends?
The Spinners,I'll Be Around,Spinners
CHIC,I Want Your Love,The Very Best of Chic
Boz Scaggs,Lowdown,Silk Degrees
The Spinners,Could It Be I'm Falling in Love,Spinners
The Undisputed Truth,Smiling Faces Sometimes,The Undisputed Truth
10cc,I'm Not In Love,The Original Soundtrack
Zapp,More Bounce to the Ounce,All the Greatest Hits
The O'Jays,Back Stabbers,Back Stabbers
War,The Cisco Kid,The World is a Ghetto
Squarepusher,Planetarium,Hello Everything
Electric Light Orchestra,Starlight,Out of the Blue
Michael Jackson,Earth Song - Radio Edit,Number Ones
Holy Name of Mary Choral Family,He'll Give Us What We Really Need,The Gospel According to Budgie II
Frank Zappa,Sleeping In A Jar,Ahead Of Their Time
The Beach Boys,I Get Around,50 Big Ones: Greatest Hits
Jennifer Hudson,"Golden Slumbers / Carry That Weight - From ""Sing"" Original Motion Picture Soundtrack",Sing (Original Motion Picture Soundtrack / Deluxe)
Aaliyah,Are You That Somebody,Annabelle - The Complete Fantasy Playlist
David Guetta,Memories (feat. Kid Cudi),Memories
Flo Rida,Right Round,R.O.O.T.S. (Route of Overcoming the Struggle)
Ellie Goulding,Lights,An Introduction To Ellie Goulding EP
Eminem,Love The Way You Lie,Recovery
The Chi-Lites,Are You My Woman (Tell Me So),Original Brunswick Hit Recordings
Nightcrawlers,Push The Feeling On - Mk Dub Revisited Edit,Push The Feeling On
Elvis Crespo,Suavemente,Suavemente...Los Exitos
Riton,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit]
Bobby Caldwell,What You Won't Do for Love,What You Won't Do for Love
War,"City, Country, City",The World is a Ghetto
Bruce Faulconer,Heroic Trunks,The Best of DragonBall Z - Volume I
Bruce Faulconer,Destruction,The Best of DragonBall Z - Volume I
Bruce Faulconer,16 Rips Off Cells Tail,The Best of DragonBall Z - Volume I
Bruce Faulconer,The Dragon Theme,The Best of DragonBall Z - Volume I
Playhead,Rain,Nothing to Change
Luniz,I Got 5 On It,Operation Stackola
Bruce Faulconer,Cell Destroys Island,Best Of DragonBall Z - Volume VI
Bootsy Collins,I'd Rather Be with You,Stretchin' Out In Bootsy's Rubber Band
Curtis Mayfield,Move on Up - Extended Version,Curtis (Expanded Edition)
Commodores,Machine Gun,Machine Gun
The Temptations,Papa Was A Rollin' Stone - Single Version,"20th Century Masters: The Millennium Collection: Best Of The Temptations, Vol. 2 - The '70s, '80s, '90s"
Parliament,Mothership Connection (Star Child),Mothership Connection
Ohio Players,I Want To Be Free,Fire
The Brothers Johnson,Get The Funk Out Ma Face,Look Out For #1
Parliament,Flashlight,Can't Hardly Wait
The Isley Brothers,"Footsteps in the Dark, Pts. 1 & 2",Go for Your Guns
Funkadelic,Hit It and Quit It,Maggot Brain
The Isley Brothers,Between the Sheets,Between the Sheets
Cameo,Candy,Word Up
Curtis Mayfield,Superfly,Superfly (Original Soundtrack)
Patrice Rushen,Remind Me - Remastered Version,Forget Me Nots
The Jimmy Castor Bunch,I Just Wanna Stop,The Jimmy Castor Bunch
Crush 40,Live & Learn ...Main Theme of ”Sonic Adventure 2”,SONIC ADVENTURE 2 Original Soundtrack (20th Anniversary Edition)
Prince,Take Me with U,Purple Rain
Prince,The Beautiful Ones,Purple Rain
DeBarge,I Like It,All This Love
Keri Hilson,Knock You Down,In A Perfect World...
The Pharcyde,Runnin',Labcabincalifornia (Deluxe Edition)
J. Wells,Devil in Disguise - 2021 Remastered,"The Wolfpac Mixtape, Vol. 1 (2021 Remastered)"
Ms. Lauryn Hill,Ex-Factor,The Miseducation of Lauryn Hill
Mild High Club,Homage,Skiptracing
"""Weird Al"" Yankovic",Hardware Store,Poodle Hat
The Killers,Mr. Brightside,Hot Fuss
Curtis Mayfield,Pusherman,Superfly: Deluxe 25th Anniversary Edition
Wild Cherry,Play That Funky Music,Wild Cherry
Otis Redding,(Sittin' On) the Dock of the Bay,The Dock of the Bay (Mono)
Color Me Badd,All 4 Love,C.M.B.
Kool & The Gang,Summer Madness,Light Of Worlds
Isaac Hayes,Walk On By - Remastered,Hot Buttered Soul (Deluxe Remaster)
Crush 40,Sonic Boom - Crush 40 vs. Cash Cash,SONIC THE HEDGEHOG CD Original Soundtrack (20th Anniversary Edition)
Led Zeppelin,Immigrant Song - Remaster,Led Zeppelin III (Remaster)
Gucci Mane,Wake Up in the Sky,Wake Up in the Sky
